exception_id,invoice_id,payment_id,exception_type,invoice_amount,payment_amount,amount_difference,confidence_score,severity,reason,recommended_action
EXC-00021,INV-2024-00074,PMT-100106,AMOUNT_MISMATCH,7010.53,6851.68,158.85,51.89,MEDIUM,Payment is ₹158.85 lower than invoice amount.,REVIEW PAYMENT
EXC-00022,INV-2024-00075,PMT-100086,DATE_MISMATCH,7631.12,7631.12,0.0,71.22,MEDIUM,Payment date is 39 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00023,INV-2024-00076,PMT-100088,PARTIAL_PAYMENT,2571.31,1133.95,1437.36,62.31,HIGH,"Payment of ₹1,133.95 covers only part of the invoice of ₹2,571.31.",CONTACT CUSTOMER
EXC-00024,INV-2024-00079,PMT-100091,DATE_MISMATCH,3354.27,3354.27,0.0,71.21,MEDIUM,Payment date is 62 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00025,INV-2024-00087,PMT-100106,AMOUNT_MISMATCH,6934.75,6851.68,83.07,66.76,MEDIUM,Payment is ₹83.07 lower than invoice amount.,REVIEW PAYMENT
EXC-00026,INV-2024-00088,PMT-100101,DATE_MISMATCH,5778.67,5778.67,0.0,71.63,MEDIUM,Payment date is 46 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00027,INV-2024-00089,PMT-100038,AMOUNT_MISMATCH,3690.1,3707.33,-17.23,77.96,MEDIUM,Payment is ₹17.23 higher than invoice amount.,REVIEW PAYMENT
EXC-00028,INV-2024-00095,PMT-100107,DATE_MISMATCH,6352.14,6352.14,0.0,71.67,MEDIUM,Payment date is 61 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00029,INV-2024-00096,PMT-100108,PARTIAL_PAYMENT,6638.62,2264.23,4374.39,61.86,HIGH,"Payment of ₹2,264.23 covers only part of the invoice of ₹6,638.62.",CONTACT CUSTOMER
EXC-00030,,PMT-100016,DUPLICATE_PAYMENT,,774.63,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00031,,PMT-100017,UNMATCHED_TRANSACTION,,698.19,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00032,,PMT-100032,UNMATCHED_TRANSACTION,,511.56,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00033,,PMT-100033,UNMATCHED_TRANSACTION,,612.95,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00034,,PMT-100035,DUPLICATE_PAYMENT,,587.51,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00035,,PMT-100037,UNMATCHED_TRANSACTION,,2803.16,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00036,,PMT-100043,DUPLICATE_PAYMENT,,1448.94,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00037,,PMT-100044,DUPLICATE_PAYMENT,,8882.97,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00038,,PMT-100049,DUPLICATE_PAYMENT,,138.03,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00039,,PMT-100052,UNMATCHED_TRANSACTION,,557.79,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00040,,PMT-100056,UNMATCHED_TRANSACTION,,1540.71,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00041,,PMT-100059,UNMATCHED_TRANSACTION,,6361.31,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00042,,PMT-100062,DUPLICATE_PAYMENT,,2549.2,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00043,,PMT-100067,UNMATCHED_TRANSACTION,,200.73,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00044,,PMT-100068,UNMATCHED_TRANSACTION,,164.36,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00045,,PMT-100071,DUPLICATE_PAYMENT,,7054.63,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00046,,PMT-100074,UNMATCHED_TRANSACTION,,5205.83,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00047,,PMT-100077,UNMATCHED_TRANSACTION,,385.19,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00048,,PMT-100078,DUPLICATE_PAYMENT,,503.24,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00049,,PMT-100087,UNMATCHED_TRANSACTION,,763.97,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00050,,PMT-100088,DUPLICATE_PAYMENT,,1133.95,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00051,,PMT-100099,UNMATCHED_TRANSACTION,,2803.37,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00052,,PMT-100100,UNMATCHED_TRANSACTION,,2449.96,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00053,,PMT-100108,DUPLICATE_PAYMENT,,2264.23,,0.0,HIGH,Payment appears to have been associated with more than one invoice or duplicated in the transaction feed.,VERIFY DUPLICATE
EXC-00054,,PMT-100109,UNMATCHED_TRANSACTION,,2789.13,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00055,,PMT-100111,UNMATCHED_TRANSACTION,,6450.65,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00056,,PMT-100114,UNMATCHED_TRANSACTION,,3887.41,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00057,,PMT-100115,UNMATCHED_TRANSACTION,,1713.51,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00058,,PMT-100116,UNMATCHED_TRANSACTION,,1420.21,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00059,,PMT-100117,UNMATCHED_TRANSACTION,,1240.36,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00060,,PMT-100118,UNMATCHED_TRANSACTION,,2890.71,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00061,,PMT-100119,UNMATCHED_TRANSACTION,,2976.67,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00062,,PMT-100120,UNMATCHED_TRANSACTION,,881.21,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00063,,PMT-100121,UNMATCHED_TRANSACTION,,2903.85,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00064,,PMT-100122,UNMATCHED_TRANSACTION,,1146.33,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00065,,PMT-100123,UNMATCHED_TRANSACTION,,792.59,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
EXC-00066,,PMT-100124,UNMATCHED_TRANSACTION,,734.18,,0.0,MEDIUM,Payment transaction has no sufficiently strong invoice relationship.,CHECK BANK STATEMENT
